ID,Fecha,Usuario,Texto,Candidato_Mencionado,Hashtags,Sentimiento,Ganador,Sentimiento_Numerico,Polarización
1333,2024-07-01,usuario_942,"No me gusta la forma en la que Daniel Noboa maneja su campaña, no me genera confianza.",Daniel Noboa,#PolíticaEC,Positivo,1,1.0,0.4182263400831097
1057,2024-05-01,usuario_368,"Este gobierno necesita un cambio, y Daniel Noboa puede ser la persona indicada.",Daniel Noboa,"#VotoConsciente, #PatricioZuquilanda2023",Positivo,1,1.0,0.6500836822191304
618,2024-07-03,usuario_94,Creo que Daniel Noboa representa un cambio positivo para Ecuador.,Daniel Noboa,#DanielNoboa2023,Positivo,1,1.0,0.32850200085446707
1955,2025-01-16,usuario_264,"No me gusta la forma en la que Xavier Hervas maneja su campaña, no me genera confianza.",Xavier Hervas,"#DanielNoboa2023, #EleccionesEC2023",Neutro,0,,0.1696628661950924
448,2025-02-19,usuario_634,"No creo que Daniel Noboa pueda cumplir sus promesas, pero aún así es mejor que las otras opciones.",Daniel Noboa,"#EleccionesEC2023, #OttoSonnenholzner2023",Positivo,1,1.0,0.43490195319862157
1283,2024-09-27,usuario_411,Me parece que Luisa González tiene las mejores propuestas para mejorar la economía del país.,Luisa González,"#JanTopic2023, #BolívarArmijos2023",Neutro,0,,0.16221220863356545
556,2024-12-06,usuario_324,"No creo que Jan Topic pueda cumplir sus promesas, pero aún así es mejor que las otras opciones.",Jan Topic,#XavierHervas2023,Positivo,0,,0.2808906438829756
154,2024-09-18,usuario_148,"Voy a votar por Daniel Noboa, es el único que realmente entiende los problemas de la gente.",Daniel Noboa,"#YakuPérez2023, #OttoSonnenholzner2023, #PatricioZuquilanda2023",Positivo,1,1.0,0.5671328186671214
327,2024-04-10,usuario_964,"La gente debería informarse mejor antes de criticar a Daniel Noboa, sus propuestas son buenas.",Daniel Noboa,#XavierHervas2023,Positivo,1,1.0,0.323344854459997
271,2024-11-29,usuario_133,"Daniel Noboa no tiene experiencia para manejar el país, no lo veo como una opción viable.",Daniel Noboa,"#VotoConsciente, #BolívarArmijos2023, #JanTopic2023",Positivo,1,1.0,0.4710468655701522
1677,2024-08-15,usuario_576,Me parece que Daniel Noboa tiene las mejores propuestas para mejorar la economía del país.,Daniel Noboa,#BolívarArmijos2023,Positivo,1,1.0,0.6545429804161526
1225,2024-07-18,usuario_88,Me preocupa que Daniel Noboa esté recibiendo apoyo de grupos cuestionables.,Daniel Noboa,"#EduardoMaruri2023, #EleccionesEC2023, #Democracia",Positivo,1,1.0,0.3307323376127465
431,2024-05-16,usuario_501,Daniel Noboa tiene un plan claro para reducir la inseguridad en el país.,Daniel Noboa,"#PatricioZuquilanda2023, #EduardoMaruri2023, #OttoSonnenholzner2023",Positivo,1,1.0,0.4260259860683231
1149,2024-04-23,usuario_496,"Daniel Noboa no tiene experiencia para manejar el país, no lo veo como una opción viable.",Daniel Noboa,"#EleccionesEC2023, #FernandoVillavicencio2023",Positivo,1,1.0,0.3670287641003791
1742,2024-06-04,usuario_398,"Daniel Noboa no tiene experiencia para manejar el país, no lo veo como una opción viable.",Daniel Noboa,"#PatricioZuquilanda2023, #PolíticaEC",Positivo,1,1.0,0.4075133311005822
767,2024-11-08,usuario_219,"La gente debería informarse mejor antes de criticar a Daniel Noboa, sus propuestas son buenas.",Daniel Noboa,"#LuisaGonzález2023, #OttoSonnenholzner2023",Positivo,1,1.0,0.3273424478673273
1152,2024-10-28,usuario_667,"Yaku Pérez representa los mismos problemas del pasado, no trae nada nuevo.",Yaku Pérez,"#BolívarArmijos2023, #YakuPérez2023",Positivo,0,,0.3973300932860587
1938,2024-04-15,usuario_872,"Las ideas de Bolívar Armijos sobre educación son interesantes, pero falta más detalle.",Bolívar Armijos,"#EleccionesEC2023, #YakuPérez2023, #BolívarArmijos2023",Positivo,0,,0.35185254318879133
707,2025-01-06,usuario_830,"No creo que Daniel Noboa pueda cumplir sus promesas, pero aún así es mejor que las otras opciones.",Daniel Noboa,"#EduardoMaruri2023, #XavierHervas2023, #YakuPérez2023",Positivo,1,1.0,0.6125356159424525
1304,2025-01-03,usuario_951,Me parece que Luisa González tiene las mejores propuestas para mejorar la economía del país.,Luisa González,#EduardoMaruri2023,Positivo,0,,0.23423707990254075
1796,2024-08-22,usuario_114,"Cada vez que escucho hablar a Luisa González, me genera más dudas sobre su capacidad.",Luisa González,"#JanTopic2023, #XavierHervas2023, #LuisaGonzález2023",Positivo,0,,0.36218401638315945
407,2024-11-23,usuario_401,"No confío en Daniel Noboa, sus discursos no me convencen.",Daniel Noboa,"#OttoSonnenholzner2023, #LuisaGonzález2023, #PolíticaEC",Positivo,1,1.0,0.35366838989350763
58,2024-04-03,usuario_456,Me preocupa que Daniel Noboa esté recibiendo apoyo de grupos cuestionables.,Daniel Noboa,"#Democracia, #EduardoMaruri2023",Positivo,1,1.0,0.44969952010952774
1875,2024-04-11,usuario_976,"Daniel Noboa representa los mismos problemas del pasado, no trae nada nuevo.",Daniel Noboa,"#Democracia, #OttoSonnenholzner2023, #FernandoVillavicencio2023",Positivo,1,1.0,0.5937427202516137
1557,2025-02-22,usuario_14,Me parece que Yaku Pérez tiene las mejores propuestas para mejorar la economía del país.,Yaku Pérez,#EduardoMaruri2023,Positivo,0,,0.24382968435038893
865,2024-11-08,usuario_370,Fernando Villavicencio tiene un plan claro para reducir la inseguridad en el país.,Fernando Villavicencio,"#PatricioZuquilanda2023, #EduardoMaruri2023",Positivo,0,,0.2508315127092128
1636,2024-06-29,usuario_324,"Cada vez que escucho hablar a Yaku Pérez, me genera más dudas sobre su capacidad.",Yaku Pérez,"#FernandoVillavicencio2023, #BolívarArmijos2023, #XavierHervas2023",Positivo,0,,0.3130125809447917
701,2024-06-24,usuario_261,"Daniel Noboa representa los mismos problemas del pasado, no trae nada nuevo.",Daniel Noboa,"#EduardoMaruri2023, #JanTopic2023, #OttoSonnenholzner2023",Positivo,1,1.0,0.632024575283792
1657,2024-10-26,usuario_304,"Este gobierno necesita un cambio, y Luisa González puede ser la persona indicada.",Luisa González,"#VotoConsciente, #DanielNoboa2023",Positivo,0,,0.3247043602199159
1098,2025-02-14,usuario_859,"Daniel Noboa no tiene experiencia para manejar el país, no lo veo como una opción viable.",Daniel Noboa,"#PatricioZuquilanda2023, #OttoSonnenholzner2023",Positivo,1,1.0,0.5259240751407812
1763,2025-01-21,usuario_29,"Después del debate, mi opinión sobre Xavier Hervas cambió completamente, ahora me parece más preparado.",Xavier Hervas,"#EduardoMaruri2023, #EleccionesEC2023, #FernandoVillavicencio2023",Positivo,0,,0.34556110109159244
1647,2024-06-04,usuario_298,Me preocupa que Xavier Hervas esté recibiendo apoyo de grupos cuestionables.,Xavier Hervas,"#XavierHervas2023, #YakuPérez2023",Positivo,0,,0.3589575133133269
1563,2024-04-03,usuario_807,Me parece que Luisa González tiene las mejores propuestas para mejorar la economía del país.,Luisa González,"#PatricioZuquilanda2023, #PolíticaEC, #EduardoMaruri2023",Positivo,0,,0.4375290858111951
267,2024-09-25,usuario_951,"Voy a votar por Fernando Villavicencio, es el único que realmente entiende los problemas de la gente.",Fernando Villavicencio,#BolívarArmijos2023,Positivo,0,,0.2680725742818102
1573,2024-05-13,usuario_545,"Después del debate, mi opinión sobre Daniel Noboa cambió completamente, ahora me parece más preparado.",Daniel Noboa,#XavierHervas2023,Positivo,1,1.0,0.6776274550498388
1060,2025-01-19,usuario_983,"No confío en Otto Sonnenholzner, sus discursos no me convencen.",Otto Sonnenholzner,#DanielNoboa2023,Positivo,0,,0.23171792289105345
404,2025-01-09,usuario_151,"No creo que Luisa González pueda cumplir sus promesas, pero aún así es mejor que las otras opciones.",Luisa González,#XavierHervas2023,Positivo,0,,0.2869420930676333
1115,2024-10-29,usuario_373,"Daniel Noboa no tiene experiencia para manejar el país, no lo veo como una opción viable.",Daniel Noboa,#YakuPérez2023,Positivo,1,1.0,0.3016038038775195
1788,2024-08-27,usuario_712,Luisa González está manipulando la opinión pública con información falsa.,Luisa González,"#EduardoMaruri2023, #XavierHervas2023",Positivo,0,,0.2229693085167276
1951,2025-01-15,usuario_230,"No creo que Otto Sonnenholzner pueda cumplir sus promesas, pero aún así es mejor que las otras opciones.",Otto Sonnenholzner,"#PolíticaEC, #OttoSonnenholzner2023, #LuisaGonzález2023",Positivo,0,,0.24056366943165344
1351,2024-03-02,usuario_662,Me preocupa que Fernando Villavicencio esté recibiendo apoyo de grupos cuestionables.,Fernando Villavicencio,#VotoConsciente,Positivo,0,,0.26565202662911935
1368,2025-01-21,usuario_987,"La gente debería informarse mejor antes de criticar a Daniel Noboa, sus propuestas son buenas.",Daniel Noboa,"#EleccionesEC2023, #EduardoMaruri2023",Positivo,1,1.0,0.4716343775800286
1855,2024-05-18,usuario_77,Creo que Xavier Hervas representa un cambio positivo para Ecuador.,Xavier Hervas,#DanielNoboa2023,Neutro,0,,0.16201589818905326
295,2025-02-08,usuario_998,"No confío en Daniel Noboa, sus discursos no me convencen.",Daniel Noboa,"#PolíticaEC, #JanTopic2023, #DanielNoboa2023",Positivo,1,1.0,0.5476471068746381
547,2024-10-20,usuario_90,"Votaré en blanco, ningún candidato, incluyendo Luisa González, me representa realmente.",Luisa González,#FernandoVillavicencio2023,Positivo,0,,0.35376580310479044
1409,2024-05-02,usuario_1,"No creo que Daniel Noboa pueda cumplir sus promesas, pero aún así es mejor que las otras opciones.",Daniel Noboa,"#FernandoVillavicencio2023, #PolíticaEC",Positivo,1,1.0,0.5297542436728236
1791,2024-06-07,usuario_539,Creo que Daniel Noboa representa un cambio positivo para Ecuador.,Daniel Noboa,"#PolíticaEC, #XavierHervas2023, #LuisaGonzález2023",Positivo,1,1.0,0.4619836296536157
943,2025-02-02,usuario_722,"No confío en Daniel Noboa, sus discursos no me convencen.",Daniel Noboa,#FernandoVillavicencio2023,Positivo,1,1.0,0.6287311005625023
1409,2024-05-02,usuario_1,"No creo que Daniel Noboa pueda cumplir sus promesas, pero aún así es mejor que las otras opciones.",Daniel Noboa,"#FernandoVillavicencio2023, #PolíticaEC",Positivo,1,1.0,0.40156125143649407
1517,2024-12-05,usuario_955,Me parece que Daniel Noboa tiene las mejores propuestas para mejorar la economía del país.,Daniel Noboa,#VotoConsciente,Positivo,1,1.0,0.45241815714522304
665,2024-05-27,usuario_878,"Cada vez que escucho hablar a Daniel Noboa, me genera más dudas sobre su capacidad.",Daniel Noboa,"#OttoSonnenholzner2023, #FernandoVillavicencio2023, #PatricioZuquilanda2023",Positivo,1,1.0,0.6421550897993863
1773,2024-05-03,usuario_242,"Yaku Pérez representa los mismos problemas del pasado, no trae nada nuevo.",Yaku Pérez,"#PolíticaEC, #Democracia",Positivo,0,,0.3092982364309571
733,2024-09-02,usuario_86,"Votaré en blanco, ningún candidato, incluyendo Luisa González, me representa realmente.",Luisa González,#EduardoMaruri2023,Positivo,0,,0.4030628167559117
78,2024-10-26,usuario_902,Me preocupa que Otto Sonnenholzner esté recibiendo apoyo de grupos cuestionables.,Otto Sonnenholzner,"#VotoConsciente, #EduardoMaruri2023, #DanielNoboa2023",Neutro,0,,0.10538589187327095
1340,2024-07-19,usuario_707,"Después del debate, mi opinión sobre Yaku Pérez cambió completamente, ahora me parece más preparado.",Yaku Pérez,"#PolíticaEC, #XavierHervas2023",Neutro,0,,0.16194306344485399
1963,2024-07-26,usuario_868,"Las ideas de Xavier Hervas sobre educación son interesantes, pero falta más detalle.",Xavier Hervas,#BolívarArmijos2023,Positivo,0,,0.3850043042499727
1517,2024-12-05,usuario_955,Me parece que Daniel Noboa tiene las mejores propuestas para mejorar la economía del país.,Daniel Noboa,#VotoConsciente,Positivo,1,1.0,0.3545453646377361
583,2024-03-27,usuario_17,"No me gusta la forma en la que Bolívar Armijos maneja su campaña, no me genera confianza.",Bolívar Armijos,"#PatricioZuquilanda2023, #EduardoMaruri2023, #OttoSonnenholzner2023",Positivo,0,,0.44406092042061984
148,2024-04-13,usuario_470,"Después del debate, mi opinión sobre Daniel Noboa cambió completamente, ahora me parece más preparado.",Daniel Noboa,"#PatricioZuquilanda2023, #YakuPérez2023",Positivo,1,1.0,0.5646454244709233
174,2024-07-30,usuario_307,"Cada vez que escucho hablar a Xavier Hervas, me genera más dudas sobre su capacidad.",Xavier Hervas,"#VotoConsciente, #PatricioZuquilanda2023, #YakuPérez2023",Neutro,0,,0.18695273594445228
1368,2025-01-21,usuario_987,"La gente debería informarse mejor antes de criticar a Daniel Noboa, sus propuestas son buenas.",Daniel Noboa,"#EleccionesEC2023, #EduardoMaruri2023",Positivo,1,1.0,0.5740861994831663
305,2024-04-26,usuario_961,"Las ideas de Xavier Hervas sobre educación son interesantes, pero falta más detalle.",Xavier Hervas,"#XavierHervas2023, #BolívarArmijos2023",Neutro,0,,0.17837722099490688
1740,2024-11-06,usuario_104,"Daniel Noboa no tiene experiencia para manejar el país, no lo veo como una opción viable.",Daniel Noboa,"#LuisaGonzález2023, #PolíticaEC, #VotoConsciente",Positivo,1,1.0,0.6724826205631595
1062,2024-08-16,usuario_912,"Yaku Pérez no tiene experiencia para manejar el país, no lo veo como una opción viable.",Yaku Pérez,#Democracia,Neutro,0,,0.1758899178934475
94,2024-05-16,usuario_243,Me parece que Daniel Noboa tiene las mejores propuestas para mejorar la economía del país.,Daniel Noboa,"#OttoSonnenholzner2023, #PatricioZuquilanda2023, #DanielNoboa2023",Positivo,1,1.0,0.41870932980222675
123,2024-11-07,usuario_727,"Después de leer su plan de gobierno, me convencí de que Luisa González es la mejor opción.",Luisa González,"#BolívarArmijos2023, #EduardoMaruri2023",Positivo,0,,0.24414937010605092
1514,2024-10-30,usuario_956,"Este gobierno necesita un cambio, y Fernando Villavicencio puede ser la persona indicada.",Fernando Villavicencio,#PolíticaEC,Positivo,0,,0.4953218248365884
314,2024-10-05,usuario_33,"No creo que Daniel Noboa pueda cumplir sus promesas, pero aún así es mejor que las otras opciones.",Daniel Noboa,#EleccionesEC2023,Positivo,1,1.0,0.413619049710126
1290,2024-06-24,usuario_339,"Votaré en blanco, ningún candidato, incluyendo Jan Topic, me representa realmente.",Jan Topic,#BolívarArmijos2023,Positivo,0,,0.42746714074938874
1865,2024-08-31,usuario_468,Fernando Villavicencio está manipulando la opinión pública con información falsa.,Fernando Villavicencio,"#JanTopic2023, #FernandoVillavicencio2023",Positivo,0,,0.46630977677410557
376,2024-03-03,usuario_438,Me parece que Otto Sonnenholzner tiene las mejores propuestas para mejorar la economía del país.,Otto Sonnenholzner,"#Democracia, #PolíticaEC",Positivo,0,,0.2809912117799094
525,2024-11-12,usuario_62,Luisa González está manipulando la opinión pública con información falsa.,Luisa González,"#EleccionesEC2023, #FernandoVillavicencio2023",Positivo,0,,0.4582104020018857
1677,2024-08-15,usuario_576,Me parece que Daniel Noboa tiene las mejores propuestas para mejorar la economía del país.,Daniel Noboa,#BolívarArmijos2023,Positivo,1,1.0,0.6260564830141503
405,2024-04-24,usuario_298,Me parece que Daniel Noboa tiene las mejores propuestas para mejorar la economía del país.,Daniel Noboa,"#YakuPérez2023, #VotoConsciente, #Democracia",Positivo,1,1.0,0.6162077249234442
1905,2024-05-28,usuario_947,"Después del debate, mi opinión sobre Luisa González cambió completamente, ahora me parece más preparado.",Luisa González,#EleccionesEC2023,Neutro,0,,0.12050027594786768
169,2024-03-14,usuario_359,"La gente debería informarse mejor antes de criticar a Daniel Noboa, sus propuestas son buenas.",Daniel Noboa,#JanTopic2023,Positivo,1,1.0,0.37810178272989403
844,2024-12-09,usuario_963,"Después de leer su plan de gobierno, me convencí de que Daniel Noboa es la mejor opción.",Daniel Noboa,"#OttoSonnenholzner2023, #Democracia",Positivo,1,1.0,0.3831237868201544
59,2024-03-21,usuario_909,"Las ideas de Otto Sonnenholzner sobre educación son interesantes, pero falta más detalle.",Otto Sonnenholzner,"#OttoSonnenholzner2023, #PatricioZuquilanda2023, #PolíticaEC",Positivo,0,,0.21006572863016207
638,2024-08-17,usuario_824,"Las ideas de Fernando Villavicencio sobre educación son interesantes, pero falta más detalle.",Fernando Villavicencio,"#DanielNoboa2023, #VotoConsciente",Positivo,0,,0.4870845839278002
1896,2025-01-08,usuario_575,Creo que Fernando Villavicencio representa un cambio positivo para Ecuador.,Fernando Villavicencio,"#EleccionesEC2023, #FernandoVillavicencio2023, #PatricioZuquilanda2023",Positivo,0,,0.39198245607234594
1778,2025-01-01,usuario_344,"Después de leer su plan de gobierno, me convencí de que Daniel Noboa es la mejor opción.",Daniel Noboa,#JanTopic2023,Positivo,1,1.0,0.5427058831381697
1247,2024-11-11,usuario_990,Me parece que Fernando Villavicencio tiene las mejores propuestas para mejorar la economía del país.,Fernando Villavicencio,"#DanielNoboa2023, #EleccionesEC2023",Positivo,0,,0.24550482308146654
1284,2024-03-25,usuario_889,Daniel Noboa tiene un plan claro para reducir la inseguridad en el país.,Daniel Noboa,"#FernandoVillavicencio2023, #XavierHervas2023, #EleccionesEC2023",Positivo,1,1.0,0.6924259112101947
831,2025-02-04,usuario_442,"La gente debería informarse mejor antes de criticar a Daniel Noboa, sus propuestas son buenas.",Daniel Noboa,"#VotoConsciente, #EduardoMaruri2023, #DanielNoboa2023",Positivo,1,1.0,0.3985183616549297
627,2024-09-03,usuario_197,Creo que Jan Topic representa un cambio positivo para Ecuador.,Jan Topic,"#LuisaGonzález2023, #EleccionesEC2023",Positivo,0,,0.47546012518675695
1742,2024-06-04,usuario_398,"Daniel Noboa no tiene experiencia para manejar el país, no lo veo como una opción viable.",Daniel Noboa,"#PatricioZuquilanda2023, #PolíticaEC",Positivo,1,1.0,0.3628797746778363
148,2024-04-13,usuario_470,"Después del debate, mi opinión sobre Daniel Noboa cambió completamente, ahora me parece más preparado.",Daniel Noboa,"#PatricioZuquilanda2023, #YakuPérez2023",Positivo,1,1.0,0.5260105861282405
1742,2024-06-04,usuario_398,"Daniel Noboa no tiene experiencia para manejar el país, no lo veo como una opción viable.",Daniel Noboa,"#PatricioZuquilanda2023, #PolíticaEC",Positivo,1,1.0,0.5665539626851228
833,2024-12-22,usuario_75,"No confío en Yaku Pérez, sus discursos no me convencen.",Yaku Pérez,"#DanielNoboa2023, #PolíticaEC, #PatricioZuquilanda2023",Positivo,0,,0.35018885652089493
1552,2024-08-31,usuario_583,"Las ideas de Otto Sonnenholzner sobre educación son interesantes, pero falta más detalle.",Otto Sonnenholzner,#DanielNoboa2023,Positivo,0,,0.4306654864701621
667,2024-09-22,usuario_827,"Después del debate, mi opinión sobre Jan Topic cambió completamente, ahora me parece más preparado.",Jan Topic,"#PolíticaEC, #YakuPérez2023, #JanTopic2023",Positivo,0,,0.31243612549091304
1395,2024-04-15,usuario_961,Xavier Hervas tiene un plan claro para reducir la inseguridad en el país.,Xavier Hervas,"#XavierHervas2023, #BolívarArmijos2023",Neutro,0,,0.16570075418314123
1373,2024-08-04,usuario_702,"No me gusta la forma en la que Daniel Noboa maneja su campaña, no me genera confianza.",Daniel Noboa,"#FernandoVillavicencio2023, #DanielNoboa2023, #BolívarArmijos2023",Positivo,1,1.0,0.5628950958494799
320,2024-11-10,usuario_680,"Daniel Noboa representa los mismos problemas del pasado, no trae nada nuevo.",Daniel Noboa,#PolíticaEC,Positivo,1,1.0,0.6338990749577491
1531,2024-11-30,usuario_619,"No me gusta la forma en la que Jan Topic maneja su campaña, no me genera confianza.",Jan Topic,"#FernandoVillavicencio2023, #BolívarArmijos2023, #EduardoMaruri2023",Positivo,0,,0.44659716619814105
520,2025-02-05,usuario_529,"Después de leer su plan de gobierno, me convencí de que Xavier Hervas es la mejor opción.",Xavier Hervas,"#VotoConsciente, #BolívarArmijos2023",Neutro,0,,0.1057026357440753
1277,2024-06-06,usuario_377,"No confío en Daniel Noboa, sus discursos no me convencen.",Daniel Noboa,"#XavierHervas2023, #EduardoMaruri2023",Positivo,1,1.0,0.3542697880653946
1277,2024-06-06,usuario_377,"No confío en Daniel Noboa, sus discursos no me convencen.",Daniel Noboa,"#XavierHervas2023, #EduardoMaruri2023",Positivo,1,1.0,0.466864684553118
1126,2024-04-26,usuario_553,Creo que Xavier Hervas representa un cambio positivo para Ecuador.,Xavier Hervas,"#OttoSonnenholzner2023, #DanielNoboa2023",Neutro,0,,0.1778303822628237
1559,2024-09-16,usuario_233,Yaku Pérez tiene un plan claro para reducir la inseguridad en el país.,Yaku Pérez,"#BolívarArmijos2023, #DanielNoboa2023, #Democracia",Positivo,0,,0.41777292446762637
943,2025-02-02,usuario_722,"No confío en Daniel Noboa, sus discursos no me convencen.",Daniel Noboa,#FernandoVillavicencio2023,Positivo,1,1.0,0.6187652489606665
313,2024-07-01,usuario_262,"Las ideas de Bolívar Armijos sobre educación son interesantes, pero falta más detalle.",Bolívar Armijos,"#XavierHervas2023, #YakuPérez2023",Neutro,0,,0.12010131020505735
1633,2024-08-31,usuario_508,"No creo que Luisa González pueda cumplir sus promesas, pero aún así es mejor que las otras opciones.",Luisa González,"#VotoConsciente, #DanielNoboa2023, #OttoSonnenholzner2023",Neutro,0,,0.18028125810508994
1274,2025-01-22,usuario_105,Bolívar Armijos está manipulando la opinión pública con información falsa.,Bolívar Armijos,"#Democracia, #EleccionesEC2023, #YakuPérez2023",Positivo,0,,0.42569091677896287
1665,2024-11-18,usuario_394,Creo que Luisa González representa un cambio positivo para Ecuador.,Luisa González,"#EleccionesEC2023, #FernandoVillavicencio2023",Positivo,0,,0.2190074662689864
147,2024-11-05,usuario_825,Creo que Bolívar Armijos representa un cambio positivo para Ecuador.,Bolívar Armijos,"#Democracia, #XavierHervas2023",Positivo,0,,0.36546374983366914
971,2024-06-10,usuario_795,Me parece que Xavier Hervas tiene las mejores propuestas para mejorar la economía del país.,Xavier Hervas,#DanielNoboa2023,Positivo,0,,0.28747303382944855
1641,2024-04-04,usuario_883,"Los medios están atacando a Luisa González, pero creo que tiene buenas intenciones.",Luisa González,"#VotoConsciente, #LuisaGonzález2023, #FernandoVillavicencio2023",Positivo,0,,0.4545362326553394
1638,2024-10-10,usuario_423,"Fernando Villavicencio no tiene experiencia para manejar el país, no lo veo como una opción viable.",Fernando Villavicencio,"#VotoConsciente, #LuisaGonzález2023, #XavierHervas2023",Positivo,0,,0.25102624256457007
1450,2024-09-05,usuario_621,"Después de leer su plan de gobierno, me convencí de que Xavier Hervas es la mejor opción.",Xavier Hervas,#Democracia,Positivo,0,,0.2635619616267696
1050,2025-02-17,usuario_463,"No confío en Daniel Noboa, sus discursos no me convencen.",Daniel Noboa,"#VotoConsciente, #XavierHervas2023",Positivo,1,1.0,0.45972506837778626
1057,2024-05-01,usuario_368,"Este gobierno necesita un cambio, y Daniel Noboa puede ser la persona indicada.",Daniel Noboa,"#VotoConsciente, #PatricioZuquilanda2023",Positivo,1,1.0,0.5324944487988038
1368,2025-01-21,usuario_987,"La gente debería informarse mejor antes de criticar a Daniel Noboa, sus propuestas son buenas.",Daniel Noboa,"#EleccionesEC2023, #EduardoMaruri2023",Positivo,1,1.0,0.3489949277362482
1183,2024-11-08,usuario_555,"Bolívar Armijos no tiene experiencia para manejar el país, no lo veo como una opción viable.",Bolívar Armijos,#EleccionesEC2023,Positivo,0,,0.37993815822162524
1184,2024-06-23,usuario_553,Me parece que Fernando Villavicencio tiene las mejores propuestas para mejorar la economía del país.,Fernando Villavicencio,"#XavierHervas2023, #Democracia",Positivo,0,,0.48390791389971355
1408,2024-04-30,usuario_412,"La gente debería informarse mejor antes de criticar a Yaku Pérez, sus propuestas son buenas.",Yaku Pérez,"#JanTopic2023, #OttoSonnenholzner2023",Positivo,0,,0.37421249375684607
1609,2024-03-14,usuario_512,Creo que Otto Sonnenholzner representa un cambio positivo para Ecuador.,Otto Sonnenholzner,"#VotoConsciente, #EleccionesEC2023",Positivo,0,,0.26421907406891443
1530,2024-09-03,usuario_861,"Voy a votar por Bolívar Armijos, es el único que realmente entiende los problemas de la gente.",Bolívar Armijos,#OttoSonnenholzner2023,Neutro,0,,0.1171600504528247
127,2024-10-06,usuario_40,"Votaré en blanco, ningún candidato, incluyendo Yaku Pérez, me representa realmente.",Yaku Pérez,#VotoConsciente,Neutro,0,,0.17425086460086908
1107,2024-12-29,usuario_953,"Después del debate, mi opinión sobre Luisa González cambió completamente, ahora me parece más preparado.",Luisa González,"#FernandoVillavicencio2023, #Democracia",Positivo,0,,0.40947884003568835
249,2025-01-29,usuario_498,Creo que Otto Sonnenholzner representa un cambio positivo para Ecuador.,Otto Sonnenholzner,"#VotoConsciente, #JanTopic2023, #PatricioZuquilanda2023",Positivo,0,,0.3872575935924182
1010,2024-06-24,usuario_635,Daniel Noboa tiene un plan claro para reducir la inseguridad en el país.,Daniel Noboa,"#VotoConsciente, #LuisaGonzález2023, #XavierHervas2023",Positivo,1,1.0,0.518295609108743
319,2024-06-12,usuario_642,"Xavier Hervas no tiene experiencia para manejar el país, no lo veo como una opción viable.",Xavier Hervas,"#DanielNoboa2023, #OttoSonnenholzner2023",Positivo,0,,0.419634205027284
1825,2024-10-16,usuario_287,"Los medios están atacando a Luisa González, pero creo que tiene buenas intenciones.",Luisa González,"#EleccionesEC2023, #VotoConsciente",Positivo,0,,0.29690679426502353
1266,2024-11-19,usuario_60,"No creo que Jan Topic pueda cumplir sus promesas, pero aún así es mejor que las otras opciones.",Jan Topic,"#EduardoMaruri2023, #PolíticaEC",Positivo,0,,0.42867734889957476
760,2025-02-14,usuario_367,Me parece que Fernando Villavicencio tiene las mejores propuestas para mejorar la economía del país.,Fernando Villavicencio,"#XavierHervas2023, #PatricioZuquilanda2023",Neutro,0,,0.10230746477834184
1356,2025-01-17,usuario_254,Me parece que Yaku Pérez tiene las mejores propuestas para mejorar la economía del país.,Yaku Pérez,"#Democracia, #XavierHervas2023, #VotoConsciente",Positivo,0,,0.32957660240391184
531,2025-01-12,usuario_93,Creo que Bolívar Armijos representa un cambio positivo para Ecuador.,Bolívar Armijos,#PatricioZuquilanda2023,Neutro,0,,0.19862177788726268
