ID,Fecha,Usuario,Texto,Candidato_Mencionado,Hashtags,Sentimiento,Ganador,Sentimiento_Numerico,Polarización
1333,2024-07-01,usuario_942,"No me gusta la forma en la que Daniel Noboa maneja su campaña, no me genera confianza.",Daniel Noboa,#PolíticaEC,Negativo,1,1.0,-0.26335
1057,2024-05-01,usuario_368,"Este gobierno necesita un cambio, y Daniel Noboa puede ser la persona indicada.",Daniel Noboa,"#VotoConsciente, #PatricioZuquilanda2023",Neutro,1,1.0,0.0
618,2024-07-03,usuario_94,Creo que Daniel Noboa representa un cambio positivo para Ecuador.,Daniel Noboa,#DanielNoboa2023,Neutro,1,1.0,0.0
1955,2025-01-16,usuario_264,"No me gusta la forma en la que Xavier Hervas maneja su campaña, no me genera confianza.",Xavier Hervas,"#DanielNoboa2023, #EleccionesEC2023",Negativo,0,,-0.26335
448,2025-02-19,usuario_634,"No creo que Daniel Noboa pueda cumplir sus promesas, pero aún así es mejor que las otras opciones.",Daniel Noboa,"#EleccionesEC2023, #OttoSonnenholzner2023",Neutro,1,1.0,-0.148
1283,2024-09-27,usuario_411,Me parece que Luisa González tiene las mejores propuestas para mejorar la economía del país.,Luisa González,"#JanTopic2023, #BolívarArmijos2023",Neutro,0,,0.0
556,2024-12-06,usuario_324,"No creo que Jan Topic pueda cumplir sus promesas, pero aún así es mejor que las otras opciones.",Jan Topic,#XavierHervas2023,Neutro,0,,-0.148
154,2024-09-18,usuario_148,"Voy a votar por Daniel Noboa, es el único que realmente entiende los problemas de la gente.",Daniel Noboa,"#YakuPérez2023, #OttoSonnenholzner2023, #PatricioZuquilanda2023",Neutro,1,1.0,0.0
327,2024-04-10,usuario_964,"La gente debería informarse mejor antes de criticar a Daniel Noboa, sus propuestas son buenas.",Daniel Noboa,#XavierHervas2023,Neutro,1,1.0,0.0
271,2024-11-29,usuario_133,"Daniel Noboa no tiene experiencia para manejar el país, no lo veo como una opción viable.",Daniel Noboa,"#VotoConsciente, #BolívarArmijos2023, #JanTopic2023",Negativo,1,1.0,-0.26335
1677,2024-08-15,usuario_576,Me parece que Daniel Noboa tiene las mejores propuestas para mejorar la economía del país.,Daniel Noboa,#BolívarArmijos2023,Neutro,1,1.0,0.0
1225,2024-07-18,usuario_88,Me preocupa que Daniel Noboa esté recibiendo apoyo de grupos cuestionables.,Daniel Noboa,"#EduardoMaruri2023, #EleccionesEC2023, #Democracia",Neutro,1,1.0,0.0
431,2024-05-16,usuario_501,Daniel Noboa tiene un plan claro para reducir la inseguridad en el país.,Daniel Noboa,"#PatricioZuquilanda2023, #EduardoMaruri2023, #OttoSonnenholzner2023",Neutro,1,1.0,0.0
1149,2024-04-23,usuario_496,"Daniel Noboa no tiene experiencia para manejar el país, no lo veo como una opción viable.",Daniel Noboa,"#EleccionesEC2023, #FernandoVillavicencio2023",Negativo,1,1.0,-0.26335
1742,2024-06-04,usuario_398,"Daniel Noboa no tiene experiencia para manejar el país, no lo veo como una opción viable.",Daniel Noboa,"#PatricioZuquilanda2023, #PolíticaEC",Negativo,1,1.0,-0.26335
767,2024-11-08,usuario_219,"La gente debería informarse mejor antes de criticar a Daniel Noboa, sus propuestas son buenas.",Daniel Noboa,"#LuisaGonzález2023, #OttoSonnenholzner2023",Neutro,1,1.0,0.0
1152,2024-10-28,usuario_667,"Yaku Pérez representa los mismos problemas del pasado, no trae nada nuevo.",Yaku Pérez,"#BolívarArmijos2023, #YakuPérez2023",Neutro,0,,-0.148
1938,2024-04-15,usuario_872,"Las ideas de Bolívar Armijos sobre educación son interesantes, pero falta más detalle.",Bolívar Armijos,"#EleccionesEC2023, #YakuPérez2023, #BolívarArmijos2023",Neutro,0,,0.0
707,2025-01-06,usuario_830,"No creo que Daniel Noboa pueda cumplir sus promesas, pero aún así es mejor que las otras opciones.",Daniel Noboa,"#EduardoMaruri2023, #XavierHervas2023, #YakuPérez2023",Neutro,1,1.0,-0.148
1304,2025-01-03,usuario_951,Me parece que Luisa González tiene las mejores propuestas para mejorar la economía del país.,Luisa González,#EduardoMaruri2023,Neutro,0,,0.0
